Aluminum	Al 3+ 
Ammonium	NH4 +
Antimony (III)	Sb 3+
Antimony (V)	Sb 5+
Arsenic (III)	As 3+
Arsenic (V)	As 5+
Barium	Ba 2+
Beryllium	Be 2+
Bismuth (III)	Bi 3+
Bismuth (V)	Bi 5+
Cadmium	Cd 2+
Calcium	Ca 2+ 
Chromium (II)	Cr 2+ 
Chromium (III)	Cr 3+ 
Cobalt (II)	Co 2+ 
Cobalt (III)	Co 3+ 
Copper (I)	Cu + 
Copper (II)	Cu 2+ 
Hydrogen	H +
Hydronium	H3O + 
Iron (II)	Fe 2+ 
Iron (III)	Fe 3+ 
Lead (II)	Pb 2+ 
Lead (IV)	Pb 4+ 
Lithium	Li +
Magnesium	Mg 2+ 
Manganese (II)	Mn 2+ 
Manganese (IV)	Mn 4+ 
Mercury (I)	Hg2 2+ 
Mercury (II)	Hg 2+ 
Nickel	Ni 2+ 
Potassium	K + 
Scandium	Sc 2+ 
Silver	Ag +
Sodium	Na + 
Strontium	Sr 2+ 
Tin (II)	Sn 2+ 
Tin (IV)	Sn 4+ 
Zinc	Zn 2+ 
